DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, back-end",Ireland,,18,,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL,MSBuild;NuGet,Amazon Web Services (AWS),.NET (5+) 
"Developer, desktop or enterprise applications",United States of America,,37,,HTML/CSS;JavaScript;PHP;Python;SQL,,Amazon Web Services (AWS),Pandas
"Developer, full-stack",Italy,,15,,Clojure;Java;JavaScript;SQL,Ansible;Docker;Kubernetes;Maven (build tool);Terraform,Google Cloud,
"Developer, full-stack",United States of America,,20,,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Docker;MSBuild;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Cordova;DirectX;OpenCL;Opencv;Xamarin
"Developer, full-stack",Italy,,17,,C#;HTML/CSS;JavaScript;Python;Scala;SQL,Docker,Amazon Web Services (AWS),.NET Framework (1.0 - 4.8);Apache Spark
Cloud infrastructure engineer,Ukraine,,6,,Bash/Shell (all shells);Lua;TypeScript,Docker;Homebrew;Nix;npm;Yarn,Amazon Web Services (AWS),
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,12,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,.NET (5+) ;.NET MAUI;Xamarin
"Developer, full-stack",Philippines,,6,,C#;HTML/CSS;JavaScript;SQL,NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Australia,,2,,Go;HTML/CSS;Java;JavaScript;Perl;Python;TypeScript,Chocolatey;Visual Studio Solution,Amazon Web Services (AWS),Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow
Other (please specify):,United States of America,,7,,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL,Docker;Homebrew;Kubernetes;Pip;Terraform,Amazon Web Services (AWS);Databricks,Apache Spark;NumPy;Pandas
"Developer, back-end",Brazil,,7,,Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript,Docker,Amazon Web Services (AWS),
"Developer, back-end",Japan,,16,,Bash/Shell (all shells);Python,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,,Ruff
Student,United States of America,,,,C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;SQL;TypeScript,Gradle;npm;Pip;Unity 3D;Webpack;Yarn,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,NumPy;Pandas
"Developer, full-stack",United States of America,,6,,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Visual Studio Solution,Microsoft Azure;VMware,.NET (5+) ;Xamarin
Student,Austria,,8,,Bash/Shell (all shells);C#;Java;OCaml;SQL,Gradle;Kubernetes;Maven (build tool),Google Cloud;Oracle Cloud Infrastructure (OCI),NumPy;Pandas;Scikit-Learn;Spring Framework;Torch/PyTorch
Data scientist or machine learning specialist,"Iran, Islamic Republic of...",,6,,Python,Docker;Kubernetes;Make;npm;Terraform,Amazon Web Services (AWS);Google Cloud;Hetzner;Microsoft Azure;PythonAnywhere,Apache Spark;CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;TensorFlow;Torch/PyTorch
"Developer, full-stack",France,,7,,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Homebrew;Make;pnpm;Vite;Yarn,Amazon Web Services (AWS);Heroku,NumPy;Pandas
"Developer, full-stack",Saudi Arabia,,Less than 1 year,,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Make;npm;pnpm;Vite;Webpack;Yarn,Firebase;Netlify,
"Developer, full-stack",Brazil,,7,,HTML/CSS;JavaScript;Ruby;SQL,Docker;Homebrew;npm;Webpack;Yarn,Amazon Web Services (AWS);Fly.io;Google Cloud;Render,
Research & Development role,Italy,,12,,Bash/Shell (all shells);C++;Python,Docker;Kubernetes;Make;npm,Amazon Web Services (AWS);Microsoft Azure,CUDA;OpenGL;Torch/PyTorch
"Developer, full-stack",Ireland,,15,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,Bun;Docker;npm;Vite,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Opencv;OpenGL;Tauri;TensorFlow
Academic researcher,Austria,,14,,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Docker;MSBuild;NuGet;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;DirectX;NumPy;OpenGL
"Developer, full-stack",Romania,,7,,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Kubernetes;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET MAUI;RabbitMQ
,United Kingdom of Great Britain and Northern Ireland,,4,,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA,Docker;Godot;Kubernetes;Unity 3D,Amazon Web Services (AWS);Google Cloud;Heroku;PythonAnywhere,Apache Kafka;Apache Spark;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, embedded applications or devices",United States of America,,15,,C;C++,Gradle;MSBuild;Ninja,,OpenGL;Qt
System administrator,United States of America,,15,,Crystal;Julia;R;Ruby,Homebrew;Make,,Tidyverse
"Developer, desktop or enterprise applications",Germany,,45,,Delphi;Fortran;SQL,MSBuild,Microsoft Azure,OpenGL
"Developer, back-end",Germany,,4,,Java;JavaScript;SQL,Docker;Gradle;npm,Amazon Web Services (AWS),Spring Framework
Student,United Kingdom of Great Britain and Northern Ireland,,Less than 1 year,,Assembly;C#;Java;JavaScript;Python;Rust,APT;Docker;Homebrew;Pip,Heroku;Render,.NET (5+) ;SwiftUI
"Developer, full-stack",United States of America,,3,,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,Docker;Make;MSBuild;Pip;pnpm;Unity 3D;Vite;Webpack;Yarn,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Supabase,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Qt;React Native;Tauri
"Developer, full-stack",Germany,,1,,C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Docker;Maven (build tool);npm,Oracle Cloud Infrastructure (OCI);Supabase,
"Developer, full-stack",Bulgaria,,6,,C#;HTML/CSS;JavaScript;SQL,MSBuild;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,8,,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Docker;Gradle;npm,Cloudflare;Google Cloud;Managed Hosting,NumPy;Pandas;TensorFlow
Other (please specify):,Germany,,24,,C;Go;Python;SQL,Homebrew;Make;Nix,,NumPy;Pandas
"Developer, full-stack",Italy,,,,C#;JavaScript;Lua,Webpack,Cloudflare;Netlify;Oracle Cloud Infrastructure (OCI),.NET (5+) 
"Developer, back-end",Turkey,,2,,Python,Docker;Homebrew;Pip,,Apache Kafka;Ruff
Student,India,,,,C;C++;HTML/CSS;JavaScript;Python;SQL,npm,,
"Developer, back-end",Ireland,,6,,Bash/Shell (all shells);C#;Java;PowerShell;Python;SQL,,OpenShift,
Other (please specify):,Nepal,,,,Assembly;C++;Go;HTML/CSS;JavaScript;Julia;Lisp;PHP;Prolog;Rust;SQL;TypeScript,APT;Docker;Ninja;npm;Pip;Vite,Cloudflare;Firebase,Opencv;OpenGL;Qt
"Developer, back-end",Switzerland,,29,,C#;JavaScript;SQL;TypeScript,MSBuild;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn
Student,Algeria,,,,Assembly;C;HTML/CSS;JavaScript,npm;Pacman;Pip,,
DevOps specialist,Bulgaria,,5,,PowerShell;Ruby,Ansible;Docker,VMware,
Engineering manager,Sweden,,,,Java,Maven (build tool),Google Cloud,Apache Kafka
Student,"Iran, Islamic Republic of...",,1,,Assembly;C;C++;Dart;Kotlin;PHP;SQL,Gradle;Make;Ninja,Netlify,Flutter
Student,Switzerland,,Less than 1 year,,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Haskell;Java;Python;SQL,Docker;Make;Pip;Unity 3D;Unreal Engine,,Flutter;Hadoop;NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Terraform;Webpack,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter
"Developer, full-stack",Netherlands,,15,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL;TypeScript,Docker;Gradle;Homebrew;npm;pnpm;Terraform;Vite;Webpack,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Electron;Spring Framework;TensorFlow
"Developer, full-stack",Croatia,,8,,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Kubernetes;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
,Australia,,,,,,,
"Developer, full-stack",Sweden,,30,,C#;PowerShell;SQL,MSBuild;npm;NuGet;Visual Studio Solution;Vite;Yarn,Microsoft Azure,.NET (5+) ;.NET MAUI;Xamarin
Data scientist or machine learning specialist,Pakistan,100 to 499 employees,1,2040000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Docker;Homebrew;Pip,Microsoft Azure;VMware,Apache Kafka;Apache Spark;CUDA;Hadoop;Hugging Face Transformers;Keras;NumPy;OpenCL;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, desktop or enterprise applications",Czech Republic,,10,,C++;Python;R,Visual Studio Solution,PythonAnywhere,Qt
"Developer, full-stack",Switzerland,,30,,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig,Ansible;Docker;Homebrew;Make;Maven (build tool);Ninja;npm;Pacman;Pip;pnpm;Unreal Engine;Vite;Webpack,Cloudflare;Digital Ocean;PythonAnywhere,NumPy;Pandas;Qt;Tidyverse
Designer,India,,,,HTML/CSS;JavaScript,npm,Firebase;Heroku;VMware,Flutter;Ionic;React Native
Database administrator,United States of America,,25,,Groovy;HTML/CSS;Java;JavaScript;Python,Gradle;Maven (build tool),Amazon Web Services (AWS),
"Developer, full-stack",Republic of North Macedonia,,5,,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Composer;Docker;npm;Pip;Vite;Webpack;Yarn,Digital Ocean;Firebase;Google Cloud;VMware,Capacitor;Cordova;Electron;Ionic;Opencv;React Native
"Developer, full-stack",United States of America,,24,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Docker;Gradle;npm;Pip;Terraform;Vite,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Pandas;Spring Framework
Engineering manager,United States of America,,26,,C#;JavaScript;TypeScript,APT;Docker;Homebrew;Kubernetes;MSBuild;NuGet;Pip;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Roslyn
"Developer, desktop or enterprise applications",Germany,,10,,C#;PowerShell;Rust,Docker;NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Finland,,9,,Go;HTML/CSS;JavaScript;Python;TypeScript,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Amazon Web Services (AWS),
DevOps specialist,Slovakia,,20,,C;Python,Ansible;APT;Docker;Godot;Pip,,NumPy;Pandas
"Developer, back-end",Poland,,4,,Bash/Shell (all shells);C;C++;Go;JavaScript;Python,Google Test,,
"Developer, desktop or enterprise applications",United States of America,,12,,C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;SQL,Docker;Gradle;MSBuild;npm;Webpack,,
Other (please specify):,United States of America,,,,SQL,,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,29,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,APT;Chocolatey;Docker;Make;MSBuild;npm;NuGet;Pip;Terraform;Vite;Webpack,Microsoft Azure,Pandas
"Developer, full-stack",Germany,,9,,HTML/CSS;Python;Rust,Docker;Pacman,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,20,,C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin
Security professional,India,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),npm,Managed Hosting;VMware,NumPy
Designer,Russian Federation,,,,Python,,,
Student,Poland,,,,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Docker;Pacman;Pip;pnpm;Podman;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native
"Senior Executive (C-Suite, VP, etc.)",United States of America,,37,,C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Ant;Chocolatey;Docker;Gradle;Make;Maven (build tool);npm;Yarn,Amazon Web Services (AWS);Microsoft Azure,Apache Kafka;Apache Spark;Quarkus
"Developer, full-stack",Ireland,,4,,GDScript;JavaScript;PHP,,,
"Developer, full-stack","Iran, Islamic Republic of...",,,,C#;HTML/CSS;JavaScript;PHP;PowerShell,Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Unity 3D;Visual Studio Solution,,.NET (5+) ;.NET MAUI;Xamarin
"Developer, full-stack",Greece,,2,,C#;HTML/CSS;JavaScript;PHP;SQL,Make;npm;Vite,,
"Developer, mobile",India,,7,,Bash/Shell (all shells);C#;JavaScript,NuGet,,.NET (5+) ;.NET MAUI
"Developer, full-stack",United States of America,,33,,Bash/Shell (all shells);C;C++;Java;Python,Make;Maven (build tool),Amazon Web Services (AWS),CUDA
"Developer, back-end",Italy,,1,,C#;JavaScript;PowerShell;SQL,Chocolatey;npm;NuGet;Unreal Engine;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, game or graphics",Israel,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,npm;Pip;Unity 3D;Yarn,Netlify,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;OpenGL;TensorFlow
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,11,,Bash/Shell (all shells);Go;SQL,Docker,Cloudflare;Google Cloud,Apache Kafka
"Developer, full-stack",Poland,,3,,C#;JavaScript;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Pip;Visual Studio Solution;Yarn,,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, back-end",Italy,,8,,Go;PHP;Python;SQL,Ansible;Composer;Docker;Kubernetes;Make;Pacman;Terraform;Webpack,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Cordova;RabbitMQ
Other (please specify):,France,,15,,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Lua;MATLAB;PowerShell;SQL,APT;Make;MSBuild;Ninja;Pip;Webpack,,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;DirectX;Opencv;Roslyn
"Developer, back-end",Germany,,24,,C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),MSBuild;NuGet;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka
"Developer, back-end",India,,3,,Bash/Shell (all shells);Go;HTML/CSS;Python,,,
Student,Italy,,,,Assembly;Bash/Shell (all shells);C;C++;F#;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,Docker;npm;Vite;Webpack,,
"Developer, desktop or enterprise applications",United States of America,,6,,C#;HTML/CSS;VBA,NuGet;Visual Studio Solution,,.NET (5+) 
"Developer, full-stack",Belgium,,26,,C#;PowerShell;SQL,NuGet,,.NET (5+) ;RabbitMQ
Student,Australia,,Less than 1 year,,HTML/CSS;Java;JavaScript;Prolog;Scala;TypeScript,Gradle;Pip;Vite,Amazon Web Services (AWS);PythonAnywhere,NumPy
"Developer, mobile",Greece,,6,,C;C#;HTML/CSS;Java;Python;SQL,Visual Studio Solution,Google Cloud;Microsoft Azure,.NET (5+) ;.NET MAUI;NumPy;Pandas;SwiftUI;Xamarin
Student,United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python,Visual Studio Solution,Amazon Web Services (AWS);OVH,.NET (5+) ;.NET MAUI;NumPy;Pandas;Scikit-Learn
"Developer, front-end",Ireland,,13,,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Netlify,Electron
Academic researcher,United States of America,,35,,C;C#;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),Ansible;Ant;APT;Chocolatey;Docker;Godot;Gradle;Kubernetes;Maven (build tool);npm,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,.NET Framework (1.0 - 4.8);CUDA;Electron;Hugging Face Transformers;NumPy;Pandas;TensorFlow;Torch/PyTorch
"Developer, front-end",Turkey,,4,,JavaScript;TypeScript,npm;Vite;Webpack;Yarn,Cloudflare;Vercel,
"Developer, desktop or enterprise applications",United States of America,,12,,C#,Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
Research & Development role,Germany,,27,,Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust,Ansible;Docker;Google Test;Homebrew;Make;Ninja;npm,Amazon Web Services (AWS),NumPy
Data scientist or machine learning specialist,Austria,,5,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,APT;Bun;Chocolatey;Composer;Docker;Gradle;Kubernetes;npm;Pip;pnpm;Vite;Webpack,Firebase;Hetzner;OVH,Capacitor;CUDA;Electron;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, back-end",Sweden,,7,,C#;Go;Python;SQL,Docker;MSBuild;NuGet;Terraform,Amazon Web Services (AWS);Cloudflare;Google Cloud,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Mexico,,25,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Gradle;npm;Unity 3D;Yarn,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Capacitor;Cordova;Ionic
Data or business analyst,United Republic of Tanzania,,3,,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Docker;Kubernetes;npm,Google Cloud,
Other (please specify):,Ireland,,30,,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Chocolatey;Docker;Kubernetes;npm;NuGet;Visual Studio Solution,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,
Student,United States of America,,,,Java;JavaScript;Kotlin;Lua;MicroPython;Python;Rust;Scala;TypeScript,APT;Gradle;npm;Pip;Webpack,,GTK;Ktor;Opencv
"Developer, back-end",Germany,,8,,Go,Docker;Homebrew;Make,Amazon Web Services (AWS);Google Cloud,
Engineering manager,Japan,,12,,HTML/CSS;Java;JavaScript;Python;TypeScript,Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Managed Hosting;Netlify,Apache Kafka;Apache Spark;Flutter;React Native
"Developer, front-end",Austria,,5,,HTML/CSS;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript,Docker;Homebrew;npm,,Ionic
"Developer, back-end",India,,8,,Go;Python,Docker;Kubernetes;Pip,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Apache Kafka;NumPy;Pandas;Torch/PyTorch
"Developer, full-stack",United States of America,,10,,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Python;Rust;SQL,Chocolatey;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Amazon Web Services (AWS);Google Cloud;PythonAnywhere,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;CUDA;Flutter;Qt;SwiftUI;TensorFlow;Torch/PyTorch
"Developer, full-stack",United States of America,,23,,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,MSBuild;npm;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Sweden,,30,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,APT;Docker;Homebrew;MSBuild;npm;NuGet;Visual Studio Solution;Vite;Webpack;Yarn,Cloudflare;Microsoft Azure,.NET (5+) ;Roslyn
"Developer, desktop or enterprise applications",Ukraine,,18,,C++,,,
Engineering manager,Germany,,9,,JavaScript;TypeScript,Homebrew;npm;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Vercel,React Native
"Developer, back-end",Ukraine,,3,,HTML/CSS;JavaScript;PHP;SQL,Composer;npm;Webpack,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,,2,,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,Composer;Docker;Gradle;Make;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Microsoft Azure;Oracle Cloud Infrastructure (OCI);OVH,.NET (5+) ;CUDA
Educator,United Kingdom of Great Britain and Northern Ireland,,45,,C#;PowerShell;Python,Make;Pip,VMware,.NET Framework (1.0 - 4.8);Pandas
"Developer, full-stack",Hungary,,4,,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Composer;Homebrew;npm;Pip;Vite;Webpack,Digital Ocean,.NET (5+) ;Electron;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",United States of America,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,APT;Chocolatey;Homebrew;Kubernetes;npm;Pip;Yarn,Cloudflare;Digital Ocean;Google Cloud;VMware,Electron;TensorFlow
"Developer, full-stack",Argentina,,9,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Ansible;Docker;Homebrew;Kubernetes;npm;Terraform;Yarn,Amazon Web Services (AWS);Vercel,Capacitor;Ionic;RabbitMQ
Student,Sweden,,,,Assembly;C;C#;C++;HTML/CSS;JavaScript;Lua;TypeScript,APT;Godot;Make;npm;Vite;Yarn,Hetzner,OpenGL
"Developer, full-stack",Pakistan,,6,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,APT;Chocolatey;Make;npm;Pip;Visual Studio Solution;Vite,Google Cloud,React Native
DevOps specialist,India,,4,,Bash/Shell (all shells);Dart;JavaScript;Python;SQL,Docker;Kubernetes;Maven (build tool);npm;Terraform,Amazon Web Services (AWS);Firebase;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,Flutter;React Native
"Developer, full-stack",Italy,,5,,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Composer;Docker;npm;Yarn,Cloudflare;Digital Ocean;Heroku;Managed Hosting;OVH,Pandas
,India,,6,,C;C++;Java,,IBM Cloud Or Watson,
