DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, full-stack",93000000.0,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,Cloud Firestore;Dynamodb;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Netlify,Express;NestJS;Next.js;Node.js;React,,Flutter;React Native,Healthcare
"Developer, full-stack",120000000.0,Delphi,,,,,,
"Developer, front-end",166600000.0,HTML/CSS;JavaScript;TypeScript,,Netlify,Express;React,,,Software Development
"Developer, embedded applications or devices",68500000.0,C++;Rust,,,,CMake;Cargo;GNU GCC;LLVM's Clang,Qt,Software Development
"Developer, full-stack",116450000.0,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;VMware,ASP.NET;Node.js,,.NET Framework (1.0 - 4.8),Retail and Consumer Services
"Developer, full-stack",219200000.0,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET CORE,,Flutter,Software Development
"Developer, front-end",150700000.0,C#;HTML/CSS;JavaScript,,Microsoft Azure,jQuery,,.NET Framework (1.0 - 4.8),
Engineering manager,260300000.0,C#;HTML/CSS;Java;JavaScript;Python,,Google Cloud,,,NumPy,
"Developer, mobile",195500000.0,HTML/CSS;Java;JavaScript;Kotlin;SQL,MySQL;SQLite,Cloudflare;Firebase;Google Cloud;Vercel,Next.js;WordPress,,,Software Development
"Developer, full-stack",17100000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python,PostgreSQL,,Django;Flask;React,,,
"Developer, full-stack",97500000.0,Go;Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,MariaDB;MongoDB;PostgreSQL;SQLite,,Angular;FastAPI;Flask;Svelte,,,Software Development
"Developer, full-stack",157550000.0,C#;JavaScript;Python;SQL,Microsoft SQL Server,Amazon Web Services (AWS),AngularJS;ASP.NET CORE,,.NET Framework (1.0 - 4.8),
"Developer, full-stack",90000000.0,C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner;Managed Hosting,ASP.NET;ASP.NET CORE;jQuery;Node.js;React;WordPress,,,Software Development
"Developer, back-end",142305000.0,Bash/Shell (all shells);JavaScript;PHP;PowerShell;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Node.js;React;Symfony,,,
"Developer, back-end",411000000.0,Bash/Shell (all shells);C;C++;Go,SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,,Software Development
"Developer, back-end",72000000.0,C;HTML/CSS;JavaScript;Python,,Amazon Web Services (AWS);OpenShift,Drupal;React,GNU GCC,Qt,Software Development
"Developer, back-end",76500000.0,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;Redis;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Software Development
"Developer, game or graphics",350000000.0,C#;C++;Rust,SQLite,Microsoft Azure,,,.NET (5+),Software Development
"Developer, embedded applications or devices",39000000.0,C;Python,,,,,Opencv,Software Development
"Developer, front-end",54000000.0,HTML/CSS;JavaScript;SQL;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Express;Fastify;Node.js;React,,,Manufacturing
"Developer, full-stack",270000000.0,Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,PostgreSQL,,React;Spring Boot,,React Native,Software Development
"Developer, back-end",274000000.0,C;C++;Perl;SQL,,,,,,Software Development
"Developer, front-end",210000.0,HTML/CSS;JavaScript;TypeScript,,,Next.js;React,,,
"Developer, full-stack",127410000.0,Bash/Shell (all shells);Java;JavaScript;TypeScript,MongoDB;Neo4J,Amazon Web Services (AWS),Express;Node.js;Spring Boot,,React Native,"Internet, Telecomm or Information Services"
"Developer, front-end",90000000.0,HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,Firebase,Gatsby;React,,,"Internet, Telecomm or Information Services"
"Developer, front-end",202500000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,,Amazon Web Services (AWS),Express;Next.js;Node.js;React,,Apache Kafka,"Transportation, or Supply Chain"
"Developer, full-stack",82500000.0,HTML/CSS;JavaScript;PHP;TypeScript,Elasticsearch;Firebase Realtime Database;MariaDB;MySQL,Digital Ocean,Next.js;Node.js;React;WordPress,,,Retail and Consumer Services
"Developer, full-stack",165000000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,React;Spring Boot,,Spring Framework,Healthcare
Academic researcher,137000000.0,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lua;Python,MongoDB;PostgreSQL;SQLite,Cloudflare;Google Cloud;Managed Hosting,Django;Flask;jQuery;Node.js;Vue.js,CMake;GNU GCC;LLVM's Clang,NumPy;Pandas;Scikit-Learn,
"Developer, full-stack",139740000.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery,,.NET Framework (1.0 - 4.8),Government
Engineering manager,180000000.0,Bash/Shell (all shells);C#;Java;JavaScript;Lua;Objective-C;PHP,Cassandra;Dynamodb;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Laravel;Node.js,,,
"Developer, back-end",890500.0,C#;JavaScript;MATLAB,Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,ASP.NET;ASP.NET CORE;FastAPI,,.NET (5+);RabbitMQ,Software Development
"Developer, full-stack",60000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;Ruby;SQL;TypeScript;VBA,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Hetzner,AngularJS;Django;jQuery;Node.js;React;Vue.js;WordPress,CMake;GNU GCC,Pandas,
"Developer, full-stack",232900000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET CORE;React,,,
"Developer, front-end",60000000.0,C++;HTML/CSS;Java;JavaScript;Python;TypeScript,,,Node.js;React,,NumPy;OpenGL;Pandas,
"Developer, embedded applications or devices",67500000.0,Bash/Shell (all shells);C;C++;Python,,,,GNU GCC;Rasberry Pi,,Manufacturing
"Developer, full-stack",225000000.0,C#;SQL;Swift,Dynamodb;SQLite,Amazon Web Services (AWS);Microsoft Azure,,Rasberry Pi,.NET (5+);.NET MAUI;SwiftUI;Xamarin,
Engineering manager,75000000.0,Bash/Shell (all shells);C;JavaScript;Perl;PHP;Python;SQL,PostgreSQL,,Node.js;Symfony;WordPress,GNU GCC;LLVM's Clang,Qt,Computer Systems Design and Services
"Developer, full-stack",64500000.0,Delphi;HTML/CSS;JavaScript;PHP;SQL,MySQL;SQLite,,jQuery,Arduino,,
"Developer, mobile",108000000.0,Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;Swift;TypeScript,Dynamodb;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure,AngularJS;jQuery;Node.js,CMake,NumPy;Pandas;SwiftUI;TensorFlow,
"Developer, full-stack",239750000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL,Dynamodb;Microsoft SQL Server;Redis,Amazon Web Services (AWS),ASP.NET;jQuery,,.NET Framework (1.0 - 4.8);Capacitor,Software Development
"Developer, full-stack",890500000.0,C#;HTML/CSS;PowerShell;SQL;TypeScript,,,ASP.NET;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",120000000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,MariaDB;Microsoft SQL Server;Oracle;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;React;Vue.js,Arduino;Cargo;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,Software Development
"Developer, full-stack",42744000.0,C#;JavaScript,Elasticsearch;Microsoft SQL Server,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Express;jQuery;Node.js,,.NET Framework (1.0 - 4.8),"Transportation, or Supply Chain"
Cloud infrastructure engineer,78000000.0,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,,Django;React;Vue.js,CMake;LLVM's Clang;Rasberry Pi,,"Internet, Telecomm or Information Services"
"Developer, full-stack",5400000.0,C#;C++;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;SQLite,"Google Cloud;Linode, now Akamai",Angular;ASP.NET CORE;Django;FastAPI;Flask;jQuery,CMake;GNU GCC,.NET (5+);OpenGL,Software Development
"Developer, back-end",548000000.0,Go;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Django;Flask;React,CMake;Cargo,,Software Development
"Developer, full-stack",17600000.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Microsoft Azure,Angular;Express;Node.js;Spring Boot,,Capacitor;Cordova;Electron;Flutter;Ionic;NumPy;Pandas;Scikit-Learn,Software Development
"Developer, back-end",3510000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;Redis;Solr,Digital Ocean;Firebase;Google Cloud,jQuery;Laravel;Node.js;Symfony,,,Retail and Consumer Services
"Developer, back-end",165000000.0,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server,Microsoft Azure,ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,
"Developer, back-end",72000000.0,C#;C++;Lua;PowerShell;SQL,Microsoft SQL Server;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;OpenShift,ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);Opencv;RabbitMQ,Banking/Financial Services
Academic researcher,66300000.0,Bash/Shell (all shells);Python,SQLite,,Flask,,CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Higher Education
"Developer, full-stack",137000000.0,C#;HTML/CSS;PowerShell;Python;SQL;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL;SQLite,VMware,Blazor,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",301400000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",700000.0,Java;JavaScript,Elasticsearch;MySQL;PostgreSQL,Amazon Web Services (AWS),Angular;Spring Boot,,Spring Framework,
"Developer, back-end",301400000.0,Bash/Shell (all shells);Go;Java;JavaScript;Python;Rust;SQL;TypeScript,MariaDB;MySQL;SQLite,Microsoft Azure,Flask,,Apache Kafka;Apache Spark;NumPy;Pandas;Scikit-Learn,Software Development
"Developer, full-stack",15390000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,ASP.NET;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),"Internet, Telecomm or Information Services"
"Developer, full-stack",342500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Netlify,Gatsby;Next.js;Node.js;React;Spring Boot;Symfony,,Apache Kafka;React Native;Spring Framework,"Transportation, or Supply Chain"
"Developer, full-stack",300000000.0,HTML/CSS;Ruby;Rust;SQL;TypeScript,MongoDB,Amazon Web Services (AWS),Deno,,,
"Developer, full-stack",191800000.0,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,Arduino,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Software Development
"Developer, full-stack",246600000.0,Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Ruby;SQL;TypeScript,BigQuery;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel,Express;Next.js;Node.js;React;Ruby on Rails,,.NET Framework (1.0 - 4.8);Electron,Software Development
"Developer, full-stack",60000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,MariaDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Hetzner;Managed Hosting,jQuery;Vue.js;WordPress,CMake;GNU GCC,,
"Developer, back-end",205500000.0,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL,Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS),Svelte,GNU GCC;Rasberry Pi,,Software Development
"Developer, back-end",139400000.0,C#;HTML/CSS;JavaScript;Python;TypeScript,Microsoft SQL Server;MongoDB,Google Cloud;Microsoft Azure,ASP.NET CORE;React;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);Keras;Opencv;TensorFlow,Healthcare
Data scientist or machine learning specialist,137000000.0,R;SQL,BigQuery;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud,,,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,
"Developer, full-stack",66000000.0,Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;SQL;Swift;TypeScript,MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,jQuery;Node.js;React;WordPress,GNU GCC,Cordova,"Internet, Telecomm or Information Services"
"Developer, back-end",205500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;H2;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);VMware,Node.js;Spring Boot,,Spring Framework,"Internet, Telecomm or Information Services"
"Developer, full-stack",205500000.0,Bash/Shell (all shells);C#;Elixir;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku;Microsoft Azure,ASP.NET CORE;Express;Phoenix;React,Arduino;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,.NET (5+),
"Developer, full-stack",135000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Django;FastAPI;Flask;React;Vue.js,Arduino;CMake;GNU GCC;Rasberry Pi,RabbitMQ;Torch/PyTorch,
"Developer, full-stack",205500000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,,.NET (5+),Insurance
"Developer, back-end",591840000.0,C#;JavaScript;Python;Ruby;SQL;TypeScript,BigQuery;Elasticsearch;MySQL;Redis,Google Cloud,React;Ruby on Rails,,,"Internet, Telecomm or Information Services"
"Developer, front-end",2467500.0,HTML/CSS;JavaScript;TypeScript,MariaDB,Digital Ocean,Node.js;Nuxt.js;Vue.js,,,Retail and Consumer Services
Data scientist or machine learning specialist,4200000.0,Bash/Shell (all shells);Python;SQL,MySQL;Neo4J;PostgreSQL;SQLite,,Django;Vue.js,,NumPy;Scikit-Learn,
"Developer, back-end",40500000.0,C++;Java;PHP,Microsoft SQL Server;MySQL;Oracle,Oracle Cloud Infrastructure (OCI),Drupal,,Spring Framework,Software Development
"Developer, back-end",231000.0,C#;JavaScript;PHP;TypeScript,MySQL;PostgreSQL,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Next.js;React,,,
"Developer, back-end",253450000.0,Go;Python;Ruby;Rust;SQL,Cassandra;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Linode, now Akamai;Microsoft Azure;Oracle Cloud Infrastructure (OCI)",FastAPI;Flask;Ruby on Rails,Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,CUDA;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Retail and Consumer Services
Security professional,75350000.0,Assembly;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Digital Ocean;Microsoft Azure;VMware,Node.js;WordPress,CMake;GNU GCC;LLVM's Clang,NumPy,
DevOps specialist,120000000.0,Bash/Shell (all shells);Python;SQL,,,Django;Flask,,,
Engineering manager,127500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,MariaDB;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Netlify;Vercel,Next.js;Node.js;Nuxt.js;Vue.js,,RabbitMQ,Insurance
"Developer, full-stack",8000000.0,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Netlify,jQuery;Node.js;React;WordPress,Arduino,.NET (5+);.NET Framework (1.0 - 4.8);Keras;Opencv;Pandas;TensorFlow,Retail and Consumer Services
"Developer, back-end",113900000.0,C#;PowerShell,Microsoft SQL Server,Microsoft Azure,ASP.NET CORE,,.NET (5+),Media & Advertising Services
"Developer, back-end",164400000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL,PostgreSQL,Amazon Web Services (AWS),React,,,"Internet, Telecomm or Information Services"
"Developer, full-stack",136500000.0,C#;HTML/CSS;JavaScript;Python,PostgreSQL;Redis;SQLite,,Django;Vue.js,Rasberry Pi,Pandas,
"Developer, front-end",131250000.0,HTML/CSS;JavaScript;TypeScript,,,Angular;Express;Node.js,,,Software Development
"Developer, full-stack",137000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,PostgreSQL,,Ruby on Rails;Vue.js,,,Fintech
"Developer, full-stack",172500000.0,HTML/CSS;Java;JavaScript;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Hetzner;OpenShift,Angular,,Apache Kafka,Banking/Financial Services
"Developer, back-end",61500000.0,Bash/Shell (all shells);C++;Python;Rust,,,,CMake;Cargo,CUDA;NumPy;Pandas;Torch/PyTorch,
"Developer, full-stack",138370000.0,C++;HTML/CSS;JavaScript;Python,SQLite,Microsoft Azure;VMware,Flask;React,,Pandas,
"Developer, full-stack",225000000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET CORE,,.NET (5+),Computer Systems Design and Services
"Developer, full-stack",124500000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Angular;AngularJS;ASP.NET CORE;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",126000000.0,C#;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET CORE;React,,.NET (5+),Software Development
"Developer, back-end",121500000.0,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS),Express;jQuery;NestJS;Next.js;Node.js;React;Spring Boot;WordPress,,,
"Developer, full-stack",260300000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PHP;Rust;SQL;TypeScript,Dynamodb;Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Blazor;Laravel;Nuxt.js;React;Vue.js,,.NET (5+);React Native,"Transportation, or Supply Chain"
"Developer, full-stack",75000000.0,C#;HTML/CSS;SQL,Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET CORE;Blazor,,.NET (5+),Software Development
"Developer, full-stack",210000000.0,Kotlin,,Amazon Web Services (AWS),React;Spring Boot,,,
"Developer, full-stack",15300000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL,,React;Symfony,,.NET Framework (1.0 - 4.8),
"Developer, back-end",75000000.0,C#,Cosmos DB,Microsoft Azure,,,.NET (5+);.NET Framework (1.0 - 4.8),Healthcare
"Developer, full-stack",225000000.0,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;VMware,jQuery;Laravel;NestJS;Node.js;React;Symfony;Vue.js,,RabbitMQ;SwiftUI,Software Development
"Developer, full-stack",45000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,PostgreSQL,,Angular;Django;FastAPI;Flask;Spring Boot,,,Healthcare
Engineering manager,64000000.0,JavaScript;PHP;Python;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Fly.io;Vercel,Express;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress,,Electron;RabbitMQ,Software Development
"Developer, full-stack",161660000.0,Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean,Flask;Node.js;Vue.js;WordPress,Cargo,Opencv,Manufacturing
"Developer, full-stack",119532500.0,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Solr,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;NestJS,,.NET (5+);.NET Framework (1.0 - 4.8),Manufacturing
"Developer, full-stack",78000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;TypeScript,Cassandra;H2;InfluxDB;MariaDB;PostgreSQL;Redis,Microsoft Azure;VMware,Angular;Node.js;Spring Boot,Arduino;Cargo;Rasberry Pi,.NET (5+);Keras,Software Development
"Developer, full-stack",60000000.0,JavaScript;Python;TypeScript,MariaDB;Microsoft SQL Server;MySQL;SQLite,,Django;Express;jQuery;NestJS;Next.js,,,Computer Systems Design and Services
"Developer, full-stack",127500000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,Microsoft SQL Server;Oracle,Microsoft Azure,Angular;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",169880000.0,Java;JavaScript;TypeScript,Elasticsearch;Oracle;Redis,,Angular;Spring Boot,,Apache Kafka;RabbitMQ,Software Development
"Developer, full-stack",14580000.0,Bash/Shell (all shells);C;C#;Go;Java;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Hetzner;Oracle Cloud Infrastructure (OCI),Angular;ASP.NET CORE;Django;Express;FastAPI;Flask;Laravel;NestJS;Next.js;Node.js;Ruby on Rails;Spring Boot;Svelte,CMake;Cargo;GNU GCC;LLVM's Clang,.NET (5+);Electron;Qt;React Native;Spring Framework,Software Development
"Developer, back-end",127500000.0,Python,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Fly.io;Hetzner,Django,Rasberry Pi,RabbitMQ,Software Development
Cloud infrastructure engineer,164400000.0,Bash/Shell (all shells);Java,Oracle,Amazon Web Services (AWS);Digital Ocean,Spring Boot,,Apache Kafka;RabbitMQ;Spring Framework,Government
"Developer, full-stack",61500000.0,Bash/Shell (all shells);C;Go;JavaScript;Python;Rust;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);OVH,Express;Fastify;Node.js;Nuxt.js;React;Svelte;Vue.js,Arduino;CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Hugging Face Transformers;NumPy;Pandas,Software Development
