DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
Engineering manager,75000000.0,Bash/Shell (all shells);C;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C;Go;JavaScript;PHP;Python;SQL,PostgreSQL,Elasticsearch;PostgreSQL,,,Node.js;WordPress,,GNU GCC;LLVM's Clang,GNU GCC;LLVM's Clang,,,APT;Docker;Kubernetes;Make;Podman,APT;Docker;Make;Podman,Knowledge sharing community,On-prem,Internal Developer portal,Computer Systems Design and Services,6.0
"Developer, full-stack",239750000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Dynamodb;Microsoft SQL Server;Redis,Dynamodb;Microsoft SQL Server;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Microsoft Azure,ASP.NET;jQuery,ASP.NET;ASP.NET CORE;jQuery;Node.js,,,.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;Visual Studio Solution,MSBuild;Visual Studio Solution,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, full-stack",890500000.0,C#;HTML/CSS;PowerShell;SQL;TypeScript,C#;Kotlin;Rust;TypeScript,,,,,ASP.NET;Node.js;React,ASP.NET CORE;Blazor;React,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;npm;NuGet;pnpm;Webpack,,Automated testing;Knowledge sharing community,Hybrid (on-prem and cloud),Internal Developer portal,Software Development,6.0
"Developer, full-stack",120000000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,MariaDB;Microsoft SQL Server;Oracle;SQLite,MariaDB;Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;React;Vue.js,ASP.NET CORE;Blazor;Htmx;React;Vue.js,Arduino;Cargo;Rasberry Pi,Arduino;Cargo;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+);RabbitMQ;React Native,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Vite;Webpack,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Vite,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",42744000.0,C#;JavaScript,C#;Go;JavaScript;Python;TypeScript,Elasticsearch;Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Express;jQuery;Node.js,ASP.NET;ASP.NET CORE;Django;Express;NestJS;Next.js;Node.js,,,.NET Framework (1.0 - 4.8),RabbitMQ,Docker;npm;NuGet;Visual Studio Solution,Docker;Make;npm;NuGet;Visual Studio Solution;Yarn,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)","Transportation, or Supply Chain",8.0
Cloud infrastructure engineer,78000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;TypeScript,PostgreSQL,PostgreSQL,,,Django;React;Vue.js,React;Vue.js,CMake;LLVM's Clang;Rasberry Pi,CMake;LLVM's Clang;Rasberry Pi,,,Ansible;APT;Docker;Kubernetes;Make;Terraform;Yarn,Ansible;APT;Docker;Kubernetes;Make;Terraform;Yarn,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,On-prem,Other:,"Internet, Telecomm or Information Services",7.0
"Developer, full-stack",5400000.0,C#;C++;Python;SQL;TypeScript,C;C#;C++;Python,MariaDB;MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,Google Cloud,,Angular;ASP.NET CORE;Django;FastAPI;Flask;jQuery,FastAPI;Flask,CMake;GNU GCC,CMake;GNU GCC,.NET (5+),.NET (5+),,MSBuild;Visual Studio Solution,DevOps function;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,2.0
"Developer, back-end",548000000.0,Go;JavaScript;Python;Rust;SQL;TypeScript,Go;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Django;Flask;React,Django;Flask;Htmx,CMake;Cargo,CMake;Cargo,,,Docker;Homebrew;Make;npm;Pip,Docker;Make;npm;Pip,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,8.0
"Developer, full-stack",17600000.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;Python;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,Angular;Express;Node.js;Spring Boot,Angular;Express;Node.js;Spring Boot,,,Flutter;NumPy;Pandas;Scikit-Learn,Flutter;NumPy;Pandas;Scikit-Learn,Docker;Homebrew;Maven (build tool);npm,Docker;Homebrew;Maven (build tool);npm,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Software Development,8.0
"Developer, back-end",3510000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,JavaScript;PHP,MariaDB;MySQL;Redis,,Digital Ocean;Firebase;Google Cloud,,jQuery;Laravel;Node.js,jQuery,,,,,Ansible;Composer;Docker;npm;Pip,Composer;Docker,,On-prem,Traditional public search engine,Retail and Consumer Services,4.0
"Developer, back-end",72000000.0,C#;C++;PowerShell;SQL,C#;C++;Go;Kotlin;PowerShell;Rust;SQL;TypeScript,Microsoft SQL Server;Redis;SQLite,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,ASP.NET CORE,ASP.NET CORE;Blazor;Htmx,,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+);RabbitMQ,Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Visual Studio Solution,Docker;Kubernetes;MSBuild;NuGet;Podman;Visual Studio Solution,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Microsoft Teams search,Banking/Financial Services,6.0
Academic researcher,66300000.0,Bash/Shell (all shells);Python,Bash/Shell (all shells);Python;Rust,SQLite,SQLite,,,Flask,Flask,,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,,,,,Traditional public search engine,Higher Education,7.0
"Developer, full-stack",301400000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,Angular;ASP.NET;ASP.NET CORE,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;Kubernetes;MSBuild;Webpack;Yarn,Docker;Kubernetes;MSBuild;Webpack;Yarn,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,6.0
"Developer, back-end",301400000.0,Bash/Shell (all shells);Go;Java;JavaScript;Python;Rust;SQL;TypeScript,Elixir;Python;Rust;SQL,MariaDB;MySQL;SQLite,PostgreSQL,Microsoft Azure,,Flask,Flask,,,Apache Kafka;NumPy;Pandas;Scikit-Learn,,Docker;Homebrew;Kubernetes;npm;Pip;Podman,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,On-prem,Slack search,Software Development,8.0
"Developer, full-stack",15390000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;Vue.js,Vue.js,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;Kubernetes;NuGet,Docker;Kubernetes;NuGet;Vite,DevOps function;Knowledge sharing community;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),AI-powered search (paid),"Internet, Telecomm or Information Services",9.0
"Developer, full-stack",342500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;Redis,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Netlify,Amazon Web Services (AWS);Digital Ocean,Next.js;Node.js;React;Spring Boot,Next.js;Node.js;React;Spring Boot,,,Apache Kafka;React Native;Spring Framework,Apache Kafka;React Native,Docker;Homebrew;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,Bun;Docker;Homebrew;Kubernetes;npm;pnpm;Vite,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Transportation, or Supply Chain",8.0
"Developer, full-stack",191800000.0,C#;JavaScript;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE;Blazor,Arduino,Arduino,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;Visual Studio Solution,MSBuild;Visual Studio Solution,DevOps function,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,10.0
